yearpublished,maxYear
1900,7.22162
1903,6.38658
1906,6.41143
1909,6.30962
1910,6.65238
1911,7.25468
1925,7.46055
1927,4.85976
1929,6.02155
1930,6.843189999999999
1931,4.67016
1932,7.2606199999999985
1933,5.19275
1934,4.64815
1935,5.54111
1936,6.985710000000001
1937,7.5701800000000015
1938,6.76512
1939,6.39163
1940,5.89048
1941,5.98683
1943,5.73546
1946,6.10099
1947,6.96479
1948,6.27385
1949,6.2375
1950,6.54839
1951,7.01805
1952,6.1097199999999985
1953,7.11272
1954,6.68646
1955,6.568
1956,7.401489999999999
1957,4.16085
1958,6.37755
1959,7.04075
1960,7.47806
1961,6.41471
1962,7.79598
1963,6.7004199999999985
1964,7.3379699999999985
1965,7.125
1966,6.76212
1967,6.70361
1968,7.33143
1969,7.0857600000000005
1970,7.44318
1971,8.0
1972,7.29466
1973,8.01282
1974,8.7973
1975,7.80285
1976,7.467460000000001
1977,7.776560000000001
1978,7.72681
1979,8.46667
1980,8.6579
1981,7.77279
1982,7.7695
1983,7.8687
1984,7.79393
1985,7.9988899999999985
1986,8.17121
1987,7.36667
1988,8.06684
1989,7.47173
1990,7.62838
1991,7.94601
1992,7.71022
1993,7.791239999999998
1994,8.00881
1995,8.1625
1996,7.97587
1997,8.19508
1998,8.25513
1999,8.16644
2000,8.69347
2001,8.163260000000001
2002,8.09722
2003,8.49394
2004,8.59636
2005,8.8
2006,8.486839999999999
2007,8.267489999999999
2008,8.44412
2009,9.22742
2010,8.68977
2011,9.01582
2012,8.6066
2013,9.13387
2014,8.78167
2015,8.945780000000003
2016,8.72973
2017,8.79951
2018,9.42857
2019,9.29208
2020,9.25
2021,9.55814
2022,9.56829
2023,7.6767
