yearpublished,average
2008,7.58896
2000,7.4183699999999995
1995,7.13598
2010,7.73515
2008,7.61
2004,7.412910000000001
2015,7.598139999999999
2016,8.417019999999999
2015,8.1083
2007,7.92581
2002,7.96662
2014,7.44
2016,8.21868
2009,7.246
2005,7.54362
2017,7.79966
2011,7.169230000000001
2012,7.23308
2004,7.84218
2019,8.10005
2008,7.24135
2014,7.63916
2011,8.12675
2000,7.07884
2007,7.75712
2012,7.7489
2017,8.74356
2008,7.554239999999999
2015,8.5935
2010,6.783639999999999
2001,5.89119
2005,8.27955
2012,8.1236
2010,7.07224
2014,7.54132
2009,7.50318
1997,7.04109
2004,7.05682
1999,7.19021
2012,6.99983
2014,7.578860000000001
2013,7.04022
2011,7.25965
2015,7.99259
2005,7.24971
2009,7.2652600000000005
2012,7.81795
2016,7.35009
2015,7.283580000000001
2015,8.05742
2014,7.77873
1993,7.53558
2008,7.74069
2012,7.890389999999999
2016,8.1617
2016,8.29446
2017,8.36078
2016,7.81497
2000,7.3235
1959,5.5933
2018,8.09779
2013,8.12005
2016,7.43995
2013,7.783710000000001
2014,7.12023
2009,7.70967
2007,7.38915
1933,4.37245
2017,7.51438
2011,7.57953
2003,7.0301800000000005
2013,8.001489999999999
2018,7.845960000000001
2011,8.09905
2018,8.09578
2008,7.53737
2012,7.564010000000001
2016,8.023610000000001
2012,6.6238399999999995
1948,6.27385
2014,7.647880000000001
2008,7.86711
2002,6.5079400000000005
2012,7.8759
2004,6.563689999999999
2005,7.7513
2013,7.12333
2014,7.56871
2011,7.876989999999999
2014,7.11106
2004,7.55837
1997,7.69636
2005,7.11218
2016,7.445869999999999
1997,7.2275100000000005
2015,8.38379
2016,8.42463
2018,8.66343
2015,7.500780000000001
2019,7.96895
2015,6.04318
2012,6.734319999999999
2004,6.6708
2009,5.86165
2014,8.074489999999999
1995,7.749639999999999
2000,6.8749199999999995
2014,7.0399899999999995
2012,7.67086
2012,7.6673100000000005
2014,7.11791
1971,5.41271
2014,7.54253
2011,6.9778
1994,6.929539999999999
1994,7.0765
2004,7.2476199999999995
2018,6.86787
2012,7.50845
2014,7.37683
2012,6.97117
1982,7.31187
2012,7.39504
2015,7.420319999999999
2011,7.19203
2004,7.0564800000000005
2011,7.6544
2015,7.83957
2014,7.998360000000001
2018,7.59704
2011,7.51602
2013,6.93881
2007,8.1818
2011,6.96022
2016,7.5490699999999995
2012,7.5621
2018,7.80514
2017,7.3544
2010,7.75095
2012,7.7824100000000005
2016,8.205169999999999
2003,6.69992
2008,7.30785
1998,6.5334699999999994
1999,7.47951
2014,7.66852
2014,6.852069999999999
2017,8.47268
2017,7.091069999999999
2009,7.51932
2003,6.97041
2017,8.04625
2010,7.83735
2007,7.18593
1964,7.337969999999999
2006,7.09817
2005,7.825710000000001
2016,7.238580000000001
1982,7.701460000000001
1999,7.33212
1949,5.67028
2006,7.90336
2015,7.770110000000001
2005,6.8242899999999995
1992,7.43915
1999,5.79461
2011,7.44377
2011,7.13639
2014,7.4898
2008,7.0157300000000005
2018,8.38755
2012,7.286160000000001
2018,7.83483
2016,7.55405
2018,7.62365
2012,7.1405899999999995
2017,7.01784
2014,7.38691
2006,6.77722
2012,7.70222
2007,7.056139999999999
2015,7.362589999999999
2018,7.73296
2012,7.6421600000000005
2017,7.27204
2020,8.11465
2010,6.2167
2006,7.28262
2013,6.80473
2017,7.98675
2019,7.71772
2017,7.53448
2011,7.2041
1997,5.67209
2012,7.18335
2000,7.413930000000001
2006,6.99947
2004,7.11718
2017,8.67603
2012,6.985589999999999
2020,8.68168
2007,7.20327
2013,7.76155
2010,7.26576
2018,7.61605
2016,7.509869999999999
2011,7.756989999999999
2012,8.51211
2017,7.622739999999999
2015,8.11562
2015,7.1451899999999995
1998,7.454910000000001
2011,7.19884
2018,7.928039999999999
2008,7.4264399999999995
2016,8.02394
2015,7.36252
1983,6.512230000000001
2004,7.2896600000000005
2014,6.938089999999999
2020,8.32094
2010,7.4012
2009,6.65141
2000,7.525980000000001
2000,6.744110000000001
2001,5.80037
2015,7.878489999999999
2013,6.27946
2009,7.67536
2015,7.76208
2016,7.814889999999999
2014,7.11148
1980,6.854439999999999
2010,7.398039999999999
2018,7.791339999999999
1946,6.10099
1977,6.40298
2011,7.381480000000001
2009,6.61343
2014,7.133610000000001
2007,6.8246
2019,7.461239999999999
2005,6.33249
2009,7.39635
2016,7.43243
2019,8.20354
2019,7.741680000000001
2017,7.35452
2015,7.40154
2016,7.57742
2005,6.93285
2013,7.48255
2007,6.52086
1991,7.57768
2016,7.53518
2016,8.00767
2006,7.40331
2007,6.93243
2015,7.6676899999999995
2014,6.89985
2017,8.10833
2011,7.44725
2014,6.879580000000001
2011,6.7501
1996,6.71196
2017,8.11122
2005,7.48733
2009,7.3835
2010,7.40422
2006,7.53401
2019,7.31727
2017,7.6805
1998,7.076339999999999
2016,7.177910000000001
2011,7.28883
2015,7.1757100000000005
2018,7.050669999999999
2013,7.53343
2012,7.152610000000001
2018,8.10335
2017,7.319719999999999
2012,7.36635
1956,5.4092199999999995
2009,7.6828
1983,5.61574
2019,7.80152
2010,6.9954600000000005
2007,7.33351
2015,7.493180000000001
2013,6.58205
1959,7.04075
2007,7.635269999999999
2010,7.027360000000001
2010,7.27422
2013,7.19468
2014,6.96369
2009,7.18863
2014,7.77814
1997,6.49464
2002,7.12771
2016,7.26732
2008,6.86517
2016,8.000539999999999
2015,7.87419
2019,7.27672
2014,7.331180000000001
1989,7.1513
2013,7.62823
2005,7.29592
1988,6.49008
2005,7.68655
1986,6.40494
1960,4.30772
2019,8.00928
2007,7.33205
2013,7.562010000000001
2018,7.600789999999999
2019,8.03036
2009,7.107939999999999
1989,6.29358
2019,7.92355
2015,8.058010000000001
2004,7.57748
2013,7.39306
2017,7.2041
2017,7.47681
2017,7.8449800000000005
2016,7.8822
2013,7.42484
2019,8.2014
2011,7.380660000000001
2012,6.8735800000000005
2011,7.5044699999999995
1981,6.564710000000001
2015,7.000189999999999
2017,7.72328
2001,6.72267
2003,7.19964
2009,6.9326300000000005
2018,7.38335
2009,7.37562
2015,6.90256
1995,7.098210000000001
2011,7.257960000000001
2004,7.774
2011,7.70176
2018,7.21771
1995,7.26505
2015,7.015210000000001
2019,7.776789999999999
2007,7.532769999999999
2005,6.5717
2013,7.237410000000001
2011,7.0215
2016,7.2845699999999995
2004,6.75068
2017,7.807869999999999
2019,7.8234699999999995
2012,7.13484
2016,7.84555
2014,7.28781
2009,7.58018
2016,7.497660000000001
2018,7.6705
2017,7.34138
2013,7.4502
2013,6.60248
2019,7.78395
2011,7.237889999999999
2010,7.04329
2014,7.67633
2015,7.4379
2014,7.17673
2005,6.5651399999999995
2008,6.28629
2014,7.65406
2019,8.225430000000001
2002,7.795489999999999
2015,7.196330000000001
2011,7.18625
2006,6.3596699999999995
2013,7.56695
2007,7.133489999999999
2015,6.707889999999999
2012,7.3486899999999995
2016,7.30325
2018,7.5006
1984,6.93715
2009,7.39533
2015,6.971080000000001
2015,7.51093
2016,6.816730000000001
2015,7.0941399999999994
2006,7.3638699999999995
2011,6.94233
1931,4.66067
1999,7.35387
2005,7.11822
1988,6.21736
1995,6.847360000000001
2016,7.02758
2014,8.08363
1999,7.108439999999999
2017,7.2369
2017,7.46285
2015,7.2226300000000005
1998,5.6828
2016,7.911239999999999
2010,7.31151
2016,7.00519
2018,7.245360000000001
2006,7.413469999999999
1998,6.62512
2014,7.0716600000000005
2007,7.620410000000001
2015,7.1814
2003,7.313110000000001
2010,6.98235
1992,6.7644
2018,7.428389999999999
1999,7.32005
2016,7.40665
2019,7.612360000000001
2004,6.7205699999999995
2007,7.21489
2005,7.214910000000001
1903,6.38658
2015,7.30509
2016,7.61802
2020,7.77482
2015,6.22636
2010,7.5429
1982,5.14339
2006,7.6089
2017,7.68962
1993,6.39783
2017,7.76969
1998,6.69579
2018,7.82101
1999,7.0143699999999995
2003,6.702960000000001
2015,7.03768
1982,6.05687
2014,7.87863
2015,6.91666
2005,6.821289999999999
2004,6.47455
2006,7.77528
2006,7.15615
2007,7.245139999999999
2015,8.60553
2004,7.003989999999999
2002,6.568239999999999
2007,7.13645
2019,8.26483
2018,7.63023
2015,7.96903
2010,6.88553
2013,7.59075
2010,7.631289999999999
2004,7.43439
2006,7.03765
2012,7.1532
2017,8.20115
2012,6.57425
2020,8.26024
2006,7.07751
2005,6.8833899999999995
2001,6.67095
2011,7.4085
2013,6.10947
2008,6.29748
2017,8.43174
2003,7.69763
1995,6.5372900000000005
2014,7.307810000000001
2003,6.67064
2012,6.988339999999999
2013,6.739260000000001
2003,7.09656
2017,7.5507800000000005
2015,7.93607
2004,7.140439999999999
2019,7.1615899999999995
2007,7.24056
2018,7.06964
2017,7.5185
2016,7.08058
2012,7.3331
1981,5.2314099999999994
2012,7.47191
1954,5.70218
2000,6.685110000000001
2011,7.3894899999999994
2015,7.0376
2017,7.0027
2010,6.70678
2012,7.62277
2005,6.8101899999999995
2016,6.891780000000001
2010,6.71122
2007,6.56238
1974,4.89445
1995,7.156689999999999
1972,6.21402
2019,7.69885
2014,6.5788899999999995
2013,6.84847
2000,7.2766
1985,5.8272699999999995
2018,7.9737800000000005
1980,7.49697
1995,6.568989999999999
2007,7.341589999999999
2017,7.57035
2009,7.41631
1997,6.76889
2009,6.85807
2018,7.5014199999999995
2011,7.29953
2015,7.00723
2009,7.06332
2014,6.45103
2015,6.633719999999999
2017,7.71393
2019,7.91467
2011,7.40786
2009,7.2397
2010,7.3430100000000005
1997,6.66379
2013,7.26686
2001,6.6912899999999995
2012,7.06545
2014,7.63894
2009,7.5342899999999995
2014,7.26929
2009,7.50426
2019,8.35636
2015,7.845269999999999
1987,6.45505
1996,6.1554
1967,5.50737
2016,7.59249
2013,7.24535
2002,7.199380000000001
2012,7.043239999999999
2017,7.022010000000001
1971,5.56959
2020,7.739039999999999
2013,7.17466
2017,7.16724
2003,6.99339
2013,6.8167
2006,6.800560000000001
2010,7.35073
2007,6.97014
2010,6.965669999999999
2017,7.54598
1991,6.864039999999999
2009,7.25016
2014,7.49101
2019,7.44217
2007,5.99008
2018,7.446089999999999
2019,7.845089999999999
2017,6.901330000000001
2018,7.76744
2016,7.1752
2007,6.14431
2014,7.8236300000000005
2016,7.153169999999999
2018,7.18952
2019,7.48955
1929,4.5215
1992,6.296469999999999
2008,6.973489999999999
2005,7.16823
2016,7.0037
2018,7.79142
2016,7.10969
2013,6.72715
2017,6.848160000000001
2015,7.206119999999999
2016,6.9070800000000006
2017,6.9379800000000005
2011,7.12597
2008,6.827260000000001
2011,7.22987
2011,6.817130000000001
2020,7.70742
2015,6.94042
2016,7.40625
2010,6.6532100000000005
2013,6.615060000000001
2015,7.52504
2009,7.674989999999999
2012,6.54136
2001,7.060239999999999
2013,7.06493
2016,7.039560000000001
2008,6.41368
2016,7.916460000000001
2015,7.222119999999999
2013,7.7114199999999995
2004,6.69625
2012,7.4992600000000005
2009,6.84807
2019,8.146139999999999
2015,6.91944
2011,7.234939999999999
2017,7.218210000000001
2004,6.81548
2003,6.682869999999999
2005,7.48088
2012,6.5074
1998,6.4711
2008,6.73681
1997,6.370019999999999
2016,7.214339999999999
2010,6.785480000000001
2009,7.227689999999999
2017,7.5188
2015,6.82188
2013,7.46167
2018,7.64335
2016,7.20494
2018,7.56527
2013,6.86353
2005,6.9832
2016,7.63955
1984,6.45944
2016,7.9016399999999996
2012,7.16237
2002,5.49799
2017,7.16564
1979,7.611789999999999
2017,7.07367
2004,6.7015
2014,7.12017
2014,7.145989999999999
1977,5.38795
2017,6.97615
2006,7.94556
2017,7.184810000000001
2007,5.69284
2017,6.99693
2018,7.953130000000001
2005,6.680060000000001
2009,7.33369
1978,6.69477
2012,7.18375
2020,7.984889999999999
2015,7.2949600000000006
2018,7.5312
2016,7.017939999999999
2000,6.1954
2005,7.06303
2020,8.67425
1994,7.543130000000001
1986,7.6148
2015,7.48641
2012,7.6127899999999995
2018,6.9904
2019,7.30767
2005,6.83545
2017,7.586289999999999
2017,6.27557
2002,7.2317800000000005
1999,7.29113
2010,7.295160000000001
2014,6.81567
2009,6.82343
2013,7.442019999999999
2016,6.72335
2018,7.82863
1983,6.3524400000000005
2009,7.41122
2015,7.27128
2019,6.49136
2012,7.2733
2015,7.351780000000001
2001,6.98005
1994,6.724069999999999
2014,6.9652
2000,7.05122
2011,6.3448400000000005
2016,7.77833
2014,6.874969999999999
2016,7.45096
2019,7.267689999999999
2000,7.0343100000000005
2018,7.604939999999999
1999,6.80611
2014,7.01355
1979,4.8009
2019,7.55801
2015,7.3476
2007,6.20823
2004,6.8581199999999995
2014,6.92046
2017,7.2892600000000005
2019,7.9947
1990,6.524430000000001
2013,7.155139999999999
2004,7.14127
2004,6.88042
2014,7.1498
1986,7.0231
2008,6.06384
2018,7.175439999999999
2013,7.63795
1986,7.867389999999999
2020,7.27963
2016,8.1726
1987,6.48008
2003,7.110639999999999
2016,7.69619
2016,7.521739999999999
2002,6.5584
2004,7.11485
2019,8.69588
2018,7.1250800000000005
2018,6.875430000000001
2017,7.653160000000001
2015,7.90088
2007,6.90941
2010,7.02889
2007,6.5363
2016,7.500310000000001
2015,7.83823
2020,8.006969999999999
2015,6.52096
1996,7.797680000000001
2011,7.4627
2012,6.887169999999999
2011,8.02689
2016,6.36891
2016,7.45948
2007,6.57085
2015,6.855910000000001
2015,6.761839999999999
2008,6.5338400000000005
2002,6.12205
2012,7.05612
2020,7.92046
2019,8.08239
2019,7.46873
2013,6.95788
2009,7.24958
2015,6.86862
1994,6.64272
2018,7.3048399999999996
2013,7.40715
2012,7.36135
2009,6.598330000000001
2016,7.7095899999999995
2010,7.3082199999999995
2017,7.09762
1999,8.05769
2019,8.08496
2004,6.8566199999999995
2012,7.35871
2018,7.29865
2005,7.08333
2001,7.44707
2013,6.995830000000001
2015,7.06124
1997,6.935910000000001
2020,7.82118
2010,7.47784
2016,6.96374
2018,7.69251
2021,8.06358
2014,6.64545
2014,7.20047
2018,7.480580000000001
2005,6.76077
2016,7.04347
2002,5.90572
2010,7.59013
2016,7.45368
2016,7.29338
2015,6.4546
2008,6.97297
2007,7.222460000000001
2015,7.2065600000000005
2007,7.14918
1989,6.6287
2013,7.281439999999999
2017,7.33378
2019,7.939089999999999
2015,7.55245
2015,7.68071
1973,6.6276399999999995
1999,5.71547
1986,6.525119999999999
1991,7.121389999999999
2014,7.04042
2011,6.77473
2013,7.38502
2001,6.87178
2017,7.210210000000001
2019,7.41287
2015,7.2032300000000005
1997,6.40528
2005,6.984430000000001
2016,6.736439999999999
2011,6.89745
2009,7.233160000000001
2018,7.602939999999999
2012,7.412160000000001
2014,6.99288
2004,6.02557
2001,6.8425899999999995
2003,6.98778
2001,7.169989999999999
2011,7.13612
2012,7.0803
2018,7.1852
2020,8.10437
2012,7.16534
2020,7.68042
2004,7.20872
2011,6.81387
2019,7.18553
2018,7.00387
2017,7.204
2010,6.62197
2016,7.716360000000001
2018,7.19504
2017,7.07486
1997,6.76583
1949,3.1848
1966,4.53733
1999,7.207260000000001
2010,6.940510000000001
2017,6.89525
2008,7.033239999999999
2006,6.9078
2009,6.72345
2005,7.864960000000001
2017,7.09324
2013,6.4897
2016,7.6856100000000005
2005,6.90145
2011,7.202610000000001
2013,7.15585
2013,7.593939999999999
2015,7.797460000000001
2001,6.4365
1986,7.19995
2020,7.621060000000001
2007,6.6790199999999995
2005,6.93193
2017,7.98998
2016,7.047039999999999
2008,7.02481
2004,7.19688
2019,7.58058
2011,7.173260000000001
2008,6.79455
1982,6.08105
2010,6.96974
2017,8.37757
2020,7.848
2012,7.578939999999999
2007,6.633960000000001
2009,7.38391
2016,7.27538
2017,7.278060000000001
2004,7.8803600000000005
1999,7.275189999999999
2019,7.2342
2021,7.69889
2017,7.9260399999999995
2015,7.433739999999999
1990,7.537539999999999
2015,6.75698
2018,6.74633
2012,6.90755
2014,7.993469999999999
2008,6.13596
1999,7.07673
2013,7.04122
2015,7.536810000000001
2004,7.51761
2017,7.14958
2017,7.3412
2001,6.8314
2012,6.77997
1997,6.33333
2002,7.5499
2014,7.227989999999999
1975,5.98798
2017,7.06381
2006,6.45061
1987,6.813510000000001
1980,6.9688300000000005
2010,7.38342
2015,7.01523
2010,6.49982
1977,6.91057
2006,6.85078
2013,7.36423
2017,7.34934
2000,6.65608
2006,6.8665199999999995
2003,6.790769999999999
2008,7.2485100000000005
2013,7.67358
2008,7.0037899999999995
1985,6.57949
2005,6.4493
2013,6.90746
2011,6.4897
2011,7.04325
1965,4.121659999999999
2016,6.6634899999999995
2009,7.35345
2016,7.00137
2015,6.55333
2011,7.091539999999999
2014,7.28304
2008,5.8544
2014,6.32301
2008,6.73802
2018,6.985869999999999
2007,7.203869999999999
2018,7.759460000000001
2012,7.140619999999999
2020,7.8954
2016,6.766210000000001
2017,5.47767
1996,6.27982
1988,6.186
2014,7.188389999999999
2016,6.6700800000000005
2005,6.36356
2009,7.21554
2015,7.02624
2017,7.66558
2002,6.65143
2014,7.3193399999999995
2016,7.610930000000001
2008,7.012760000000001
1989,7.47173
2008,6.35941
2021,7.216360000000001
2014,6.95068
2017,7.18105
2012,7.155639999999999
2016,7.55807
2002,6.40763
2019,7.687860000000001
2006,7.911560000000001
2020,7.86683
2011,7.10193
2017,6.52005
2011,6.729760000000001
2016,6.764760000000001
2019,7.362360000000001
2007,7.27101
2012,6.52683
2016,6.81235
1994,6.77854
2021,7.51938
2018,7.386660000000001
2013,6.91229
2016,7.0189699999999995
1985,7.998889999999999
2018,7.20288
2014,7.962789999999999
2017,7.02995
2009,6.69981
2020,8.63589
2012,7.37167
2016,7.36746
2012,6.752789999999999
2019,7.4289
2005,6.47746
2011,6.17285
2015,7.37745
2019,7.656160000000001
2018,6.773969999999999
2003,6.51377
2002,7.464510000000001
2015,6.63512
2008,6.40568
2018,7.18967
2018,7.86458
1984,6.44232
2017,7.37772
2012,6.835039999999999
2014,7.15556
2015,6.937289999999999
2018,7.69762
1965,3.81204
2019,8.154739999999999
2014,6.820939999999999
1993,6.58569
1999,6.60801
2015,7.68261
2012,6.8380600000000005
2000,6.82406
1999,7.1497399999999995
2012,7.80015
2016,7.194780000000001
2010,6.655689999999999
2012,6.6673800000000005
2011,6.797339999999999
2011,7.29533
2015,6.6091
2020,7.8423300000000005
2020,7.24225
2011,7.28228
2006,6.810230000000001
2013,6.89958
2005,6.86873
2005,6.28494
1985,7.06732
2016,7.165139999999999
2020,8.15207
1995,6.73698
2000,7.302689999999999
2017,7.23343
2009,7.146889999999999
2016,7.4302600000000005
2010,6.52567
2006,6.74492
2012,7.004689999999999
2004,7.851319999999999
2007,7.66251
2013,6.75208
2000,7.0086699999999995
1998,6.94325
2000,6.50765
2011,6.68385
2017,6.79166
2018,7.53103
2015,7.26173
2019,7.6108
2017,6.91173
1978,6.52224
2000,6.48729
1992,6.807639999999999
2016,6.23948
2018,7.75593
2017,7.1787600000000005
2018,7.995080000000001
2011,6.421069999999999
2006,6.823589999999999
2019,7.01745
2007,6.75944
2010,7.64915
1974,5.49339
2021,7.962789999999999
2011,6.209230000000001
2011,7.7045699999999995
2020,8.052480000000001
2005,6.643660000000001
2016,7.176839999999999
2015,6.90958
2012,6.582489999999999
2008,7.7053199999999995
2014,7.319380000000001
2000,6.8796
2018,8.3468
2017,6.732530000000001
2012,7.68532
1998,6.07456
2005,6.61682
1977,7.5254
2010,6.6309
2013,7.1516399999999996
2005,6.38244
2011,7.0118
2014,6.4278699999999995
2013,6.7382
2013,7.18775
2011,7.29643
2007,5.47156
2015,7.121169999999999
2011,7.50427
2003,6.12829
2017,7.33165
2017,6.91962
2016,6.90406
2016,7.15067
2004,6.68606
2013,7.0714
2017,6.4983
2002,7.0063
1999,7.727810000000001
2004,6.559019999999999
2007,7.04909
2007,6.47395
2019,7.26653
1989,6.4606699999999995
1988,6.5924
2009,6.57718
2003,6.717630000000001
2017,7.125780000000001
2007,6.66556
2001,6.43377
2000,6.9037
2008,5.98516
2017,7.1226199999999995
1973,6.6694
1993,7.044110000000001
2017,7.13077
2021,8.01745
2009,7.21563
2017,7.00784
2013,6.773460000000001
2012,6.88934
2016,7.09885
2014,6.781510000000001
2012,6.09687
1995,6.22082
2016,7.0490699999999995
2004,7.00325
2017,6.9822
2009,6.8324300000000004
2020,8.30568
2018,7.53452
1993,6.82165
2016,6.840039999999999
2017,7.66679
2016,6.49325
2018,8.33762
2001,7.011880000000001
2005,6.48289
2011,6.99255
2013,7.89308
2010,6.44038
2012,6.845739999999999
2009,6.84788
2018,7.54201
1996,7.0926800000000005
2007,6.925330000000001
2005,6.738980000000001
2015,6.23477
2019,7.9112800000000005
2014,7.486280000000001
2014,7.29737
2014,6.6238399999999995
2015,6.707889999999999
2008,7.4983699999999995
2016,7.27105
2021,7.624739999999999
2006,6.894430000000001
